FECHA,TMAX,TMIN
26102023, 26.6,14.0 
25102023, 21.4,15.2 
24102023, 23.0,14.0 
23102023, 26.3,16.9 
22102023, 29.6,17.8 
21102023, 34.5,20.8 
20102023, 31.1,13.0 
19102023, 29.0,11.2 
18102023, 21.3,14.3 
17102023, 25.5,16.4 
16102023, 30.4,17.0 
15102023, 31.6,10.8 
14102023, 26.5,11.9 
13102023, 23.8, 7.5 
12102023, 21.0, 6.2 
11102023, 25.6,14.5 
10102023, 38.5,19.7 
09102023, 32.6,15.9 
08102023, 31.2,11.6 
07102023, 28.2,11.8 
06102023, 29.6,11.8 
05102023, 27.7, 9.5 
04102023, 23.4, 7.0 
03102023, 24.4,12.7 
02102023, 30.1,15.2 
01102023, 29.0,12.6 
30092023, 24.8,10.7 
29092023, 20.8,14.8 
28092023, 26.2,12.8 
27092023, 26.0, 5.9 
26092023, 20.8,12.5 
25092023, 23.5,15.1 
24092023, 24.2,14.4 
23092023, 21.6,15.5 
22092023, 26.5,16.4 
21092023, 31.8,13.0 
20092023, 23.8,13.0 
19092023, 23.0, 8.0 
18092023, 21.4, 9.2 
17092023, 26.4,13.5 
16092023, 30.6,15.0 
15092023, 35.0,11.7 
14092023, 28.5, 9.6 
13092023, 22.0, 8.5 
12092023, 20.0, 8.4 
11092023, 33.6,17.8 
10092023, 35.0,11.5 
09092023, 24.2, 7.0 
08092023, 18.8, 6.6 
07092023, 20.4,11.0 
06092023, 16.2, 9.6 
05092023, 17.4, 6.2 
04092023, 17.4, 9.5 
03092023, 13.6, 8.4 
02092023, 23.6, 8.5 
01092023, 28.6,11.4 
31082023, 22.0, 8.5 
30082023, 32.7,12.9 
29082023, 26.4, 6.0 
28082023, 21.7,10.0 
27082023, 19.8, 8.5 
26082023, 15.5, 9.7 
25082023, 19.3, 6.6 
24082023, 20.7,11.2 
23082023, 19.0, 7.8 
22082023, 23.6,11.0 
21082023, 34.2,10.5 
20082023, 20.6, 6.0 
19082023, 24.5, 7.0 
18082023, 19.2, 9.5 
17082023, 21.5,10.8 
16082023, 28.0,14.6 
15082023, 33.5,13.5 
14082023, 32.6, 7.9 
13082023, 27.2, 7.5 
12082023, 16.0, 7.5 
11082023, 17.6, 7.5 
10082023, 26.0,11.4 
09082023, 19.7, 5.1 
08082023, 17.0, 6.5 
07082023, 18.7, 8.0 
06082023, 26.0, 9.1 
05082023, 23.0,12.9 
04082023, 23.3, 8.0 
03082023, 21.5,14.2 
02082023, 30.0,14.6 
01082023, 34.5,15.2 
31072023, 28.2, 9.0 
30072023, 27.6,10.8 
29072023, 29.5, 8.0 
28072023, 22.0, 4.5 
27072023, 20.8, 7.0 
26072023, 19.4, 5.0 
25072023, 15.6, 5.5 
24072023, 15.5, 9.2 
23072023, 15.5, 9.2 
22072023, 22.2,12.8 
21072023, 29.2, 9.0 
20072023, 22.0, 5.5 
19072023, 15.8, 6.2 
18072023, 15.4, 7.0 
17072023,  9.5, 5.0 
16072023, 12.4, 3.8 
15072023, 15.8, 2.7 
14072023, 15.2, 2.4 
13072023,  9.0, 3.0 
12072023, 10.6, 7.1 
11072023, 13.5, 8.9 
10072023, 15.8,13.5 
09072023, 16.8,13.5 
08072023, 20.8,11.6 
07072023, 14.5,10.6 
06072023, 16.0,12.6 
05072023, 20.5,14.9 
04072023, 30.1,17.5 
03072023, 25.5,13.1 
02072023, 27.6,15.3 
01072023, 23.1, 5.5 
30062023, 19.6, 9.6 
29062023, 16.9, 6.0 
28062023, 19.2, 7.8 
27062023, 21.4, 8.7 
26062023, 23.6, 7.8 
25062023, 21.4, 6.3 
24062023, 20.8, 7.5 
23062023, 21.7, 6.2 
22062023, 18.7, 6.5 
21062023, 13.5, 8.8 
20062023, 13.0, 9.2 
19062023, 14.3,10.3 
18062023, 18.0, 1.6 
17062023, 14.3, 3.0 
16062023, 18.5, 1.9 
15062023, 17.4, 1.4 
14062023, 17.6,-1.0 
13062023, 15.0,-0.6 
12062023, 14.8, 0.5 
11062023, 15.5, 7.0 
10062023, 14.9,10.0 
09062023, 23.2,14.0 
08062023, 29.6,16.0 
07062023, 21.5,14.4 
06062023, 26.2,14.0 
05062023, 21.6,12.7 
04062023, 19.2,13.9 
03062023, 24.3,14.6 
02062023, 27.4,15.2 
01062023, 24.8, 8.5 
31052023, 23.8, 8.0 
30052023, 21.0, 7.0 
29052023, 15.1, 9.5 
28052023, 16.6, 7.8 
27052023, 17.8,10.2 
26052023, 20.7,17.2 
25052023, 23.0,18.0 
24052023, 26.5,14.9 
23052023, 26.5,16.5 
22052023, 23.5,12.0 
21052023, 21.2,11.7 
20052023, 19.2,12.8 
19052023, 23.5,15.0 
18052023, 22.4,10.4 
17052023, 28.1,17.2 
16052023, 29.6,16.8 
15052023, 30.6,11.5 
14052023, 30.0,11.6 
13052023, 28.5,11.4 
12052023, 27.6,12.7 
11052023, 24.6,13.2 
10052023, 23.4,11.5 
09052023, 27.5,10.5 
08052023, 24.8, 9.5 
07052023, 26.4, 8.8 
06052023, 21.7, 9.8 
05052023, 16.5,12.8 
04052023, 18.4,11.8 
03052023, 19.2,12.4 
02052023, 20.5,12.5 
01052023, 20.0,14.5 
30042023, 26.3,15.0 
29042023, 32.0,16.5 
28042023, 30.6,14.0 
27042023, 30.0,12.8 
26042023, 28.6,11.4 
25042023, 25.9,11.4 
24042023, 20.7,13.8 
23042023, 22.5,15.0 
22042023, 24.5,14.0 
21042023, 23.2,13.2 
20042023, 26.5,11.0 
19042023, 26.5, 9.7 
18042023, 24.8, 8.5 
17042023, 22.7,12.5 
16042023, 22.0,13.0 
15042023, 19.6,13.1 
14042023, 17.8,12.0 
13042023, 16.0,12.0 
12042023, 25.5,16.0 
11042023, 31.3,19.1 
10042023, 30.6,18.0 
09042023, 30.4,19.0 
08042023, 29.8,19.5 
07042023, 29.4,18.2 
06042023, 28.3,17.8 
05042023, 25.4,16.7 
04042023, 24.7,18.2 
03042023, 26.6,16.9 
02042023, 20.6,18.0 
01042023, 24.7,13.8 
31032023, 22.1,17.2 
30032023, 28.3,12.9 
29032023, 27.1,20.5 
28032023, 32.1,20.1 
27032023, 27.5,18.4 
26032023, 24.6,16.9 
25032023, 29.5,18.4 
24032023, 23.0,20.4 
23032023, 22.6,19.0 
22032023, 23.8,18.3 
21032023, 23.9,19.7 
20032023, 27.5,20.2 
19032023, 34.5,22.8 
18032023, 35.0,21.2 
17032023, 35.5,21.4 
16032023, 34.3,22.0 
15032023, 34.2,20.5 
14032023, 31.1,20.8 
13032023, 37.5,25.6 
12032023, 37.5,26.5 
11032023, 37.5,25.0 
10032023, 37.4,21.2 
09032023, 36.2,21.2 
08032023, 36.2,18.5 
07032023, 32.1,18.0 
06032023, 35.5,18.6 
05032023, 37.2,21.9 
04032023, 37.5,20.2 
03032023, 35.2,20.6 
02032023, 37.8,19.2 
01032023, 33.0,23.0 
28022023, 36.1,21.5 
27022023, 35.9,16.6 
26022023, 31.4,17.9 
25022023, 34.1,16.9 
24022023, 31.4,17.7 
23022023, 31.0,15.7 
22022023, 28.5,19.0 
21022023, 33.5,16.5 
20022023, 31.0,15.5 
19022023, 28.5,11.6 
18022023, 23.5, 5.1 
17022023, 18.6,11.4 
16022023, 31.0,18.0 
15022023, 36.0,21.5 
14022023, 33.2,22.5 
13022023, 33.6,21.0 
12022023, 39.1,26.9 
11022023, 35.8,20.5 
10022023, 35.2,20.2 
09022023, 34.5,22.4 
08022023, 32.7,21.7 
07022023, 36.7,21.0 
06022023, 35.3,18.6 
05022023, 32.6,17.8 
04022023, 29.0,17.9 
03022023, 29.0,19.0 
02022023, 28.2,17.5 
01022023, 30.2,20.9 
31012023, 33.7,21.6 
30012023, 32.5,20.6 
29012023, 26.7,20.2 
28012023, 29.5,18.4 
27012023, 29.2,19.9 
26012023, 32.8,20.5 
25012023, 31.3,19.5 
24012023, 30.6,23.0 
23012023, 33.0,18.8 
22012023, 32.9,21.5 
21012023, 32.5,17.5 
20012023, 39.2,27.5 
19012023, 35.4,22.9 
18012023, 32.6,19.2 
17012023, 36.2,21.3 
16012023, 35.6,20.8 
15012023, 34.1,18.5 
14012023, 34.5,15.8 
13012023, 30.6,13.7 
12012023, 25.8,16.5 
11012023, 33.2,19.0 
10012023, 39.5,22.8 
09012023, 38.2,23.0 
08012023, 37.8,24.4 
07012023, 38.2,21.0 
06012023, 36.7,19.8 
05012023, 35.5,18.0 
04012023, 33.5,17.5 
03012023, 31.5,18.0 
02012023, 32.1,15.0 
01012023, 30.1,19.0 
31122022, 32.2,23.4 
30122022, 37.8,18.5 
29122022, 33.5,15.4 
28122022, 31.0,18.4 
27122022, 31.8,17.0 
26122022, 30.5,13.4 
25122022, 25.3,16.0 
24122022, 26.0,17.7 
23122022, 29.5,17.8 
22122022, 33.2,19.7 
21122022, 36.2,24.4 
20122022, 36.7,21.5 
19122022, 34.0,18.0 
18122022, 31.2,15.8 
17122022, 29.4,18.5 
16122022, 31.4,20.0 
15122022, 34.2,20.0 
14122022, 39.6,21.5 
13122022, 34.2,17.4 
12122022, 35.0,22.8 
11122022, 39.5,21.5 
10122022, 33.0,22.0 
09122022, 40.5,24.0 
08122022, 37.0,23.1 
07122022, 41.2,23.8 
06122022, 41.0,25.0 
05122022, 39.0,23.0 
04122022, 38.0,19.5 
03122022, 37.0,16.9 
02122022, 33.5,16.4 
01122022, 31.0,17.3 
30112022, 26.7,18.2 
29112022, 34.8,25.5 
28112022, 38.3,22.8 
27112022, 38.6,24.8 
26112022, 38.8,23.2 
25112022, 38.5,19.8 
24112022, 40.5,20.0 
23112022, 36.6,15.6 
22112022, 29.0,11.2 
21112022, 24.8,13.6 
20112022, 28.0,15.4 
19112022, 34.2,19.1 
18112022, 37.0,22.5 
17112022, 37.0,21.5 
16112022, 37.2,21.0 
15112022, 35.5,15.4 
14112022, 29.7,11.4 
13112022, 25.4,15.0 
12112022, 26.0,16.4 
11112022, 30.8,17.5 
10112022, 32.0,18.6 
09112022, 31.2,18.5 
08112022, 31.4,17.7 
07112022, 30.2,15.0 
06112022, 30.2,16.6 
05112022, 30.4,16.8 
04112022, 29.2,13.5 
03112022, 28.0,14.8 
02112022, 28.5,12.0 
01112022, 24.8, 5.6 
31102022, 19.6, 8.6 
30102022, 28.2,14.1 
29102022, 34.5,20.5 
28102022, 37.5,18.9 
27102022, 33.0,15.0 
